#test zipper-like merging (take vehicles of one type as input)
# 2 lanes, width 7.5 m
#type     length   width  u	v	speedLong	speedLat
car	  5.0	   2.2	  20	1.75	12		0
car	  5.0	   2.2	  20	-1.75	12		0
car	  5.0	   2.2	  40	1.75	12		0
car	  5.0	   2.2	  40	-1.75	12		0
car	  5.0	   2.2	  60	1.75	12		0
car	  5.0	   2.2	  60	-1.75	12		0
car	  5.0	   2.2	  80	1.75	12		0
car	  5.0	   2.2	  80	-1.75	12		0
car	  5.0	   2.2	  100	1.75	12		0
car	  5.0	   2.2	  100	-1.75	12		0
car	  5.0	   2.2	  120	1.75	12		0
car	  5.0	   2.2	  120	-1.75	12		0
truck	  10.0	   2.6	  140	1.75	12		0
truck	  10.0	   2.6	  140	-1.75	12		0
#
obstacle  5	   0.5	  400	-3.5	0		0
obstacle  5	   1.0	  405	-3.5	0		0
obstacle  5	   1.5	  410	-3.5	0		0
obstacle  5	   2.0	  415	-3.5	0		0
obstacle  5	   3.0	  420	-3.5	0		0
obstacle  5	   4.0	  425	-3.5	0		0
obstacle  5	   5.0	  430	-3.5	0		0
obstacle  5	   6.0	  435	-3.5	0		0
obstacle  5	   6.5	  440	-3.5	0		0
obstacle  5	   7.0	  445	-3.5	0		0
obstacle  5	   7.5	  450	-3.5	0		0
obstacle  50	   7.5	  475	-3.5	0		0

