#time	id	type	len[m]	w[m]	x[m]	y[m]	vx[m/s]	vy[m/s]	ax[ms2]	ay[ms2]
950.30	867457	car	5.00	2.00	578.24	-3.31	24.35	0.15	-0.05	-0.00
950.30	814286	car	5.00	2.00	571.13	2.78	23.62	0.03	0.27	-0.10
950.30	108894	car	5.00	2.00	555.93	-0.52	24.10	0.09	-0.17	0.28
950.30	353840	bike	2.00	0.70	538.53	-2.69	23.98	-0.06	0.29	-0.13
950.30	276809	car	5.00	2.00	521.89	2.82	22.96	-0.04	-0.39	0.16
950.30	580060	bike	2.00	0.70	519.10	0.06	23.97	-0.08	0.21	-0.15
950.30	432713	car	5.00	2.00	485.68	-2.75	23.53	-0.02	0.22	0.14
950.30	457391	car	5.00	2.00	475.45	2.60	22.49	0.01	0.22	-0.04
950.30	289115	car	5.00	2.00	468.27	-0.39	23.40	-0.11	0.38	-0.07
950.30	158940	bike	2.00	0.70	448.75	-3.87	23.59	0.03	-0.40	-0.05
950.30	538633	car	5.00	2.00	432.32	2.60	22.25	-0.07	-0.18	-0.25
950.30	197723	car	5.00	2.00	421.16	-0.95	23.04	-0.03	-0.17	0.12
950.30	720413	bike	2.00	0.70	417.21	4.28	23.98	0.05	0.61	-0.43
950.30	653164	bike	2.00	0.70	406.48	0.92	24.27	-0.02	0.17	-0.28
950.30	958746	car	5.00	2.00	400.19	-3.48	23.16	-0.02	-0.15	-0.00
950.30	787450	bike	2.00	0.70	372.45	-1.76	24.14	0.04	-0.51	-0.02
950.30	684677	car	5.00	2.00	372.12	2.57	23.03	0.09	0.07	0.28
950.30	103241	bike	2.00	0.70	363.55	0.40	24.24	-0.05	0.15	0.25
950.30	138645	bike	2.00	0.70	337.15	-2.65	24.30	-0.02	-0.54	0.15
950.30	466949	car	5.00	2.00	327.59	2.55	22.62	-0.01	0.24	0.42
950.30	645134	bike	2.00	0.70	325.66	-0.72	24.57	-0.12	0.04	-0.02
950.30	730553	car	5.00	2.00	285.66	-3.21	23.62	-0.01	0.35	0.09
950.30	216057	car	5.00	2.00	284.85	2.49	22.42	-0.18	0.28	0.55
950.30	181219	bike	2.00	0.70	227.32	-2.01	24.28	-0.03	0.13	-0.10
950.30	831798	car	5.00	2.00	188.46	-3.39	23.07	-0.04	0.21	-0.05
950.30	842888	bike	2.00	0.70	158.69	1.77	22.51	-0.34	0.86	-0.07
950.30	469174	car	5.00	2.00	144.36	-3.41	20.41	0.19	0.89	0.15
950.30	358004	truck	10.00	2.50	138.70	0.08	12.37	0.09	0.36	0.01
950.30	236228	bike	2.00	0.70	131.21	-2.79	18.70	0.02	1.29	-0.13
950.30	410392	truck	10.00	2.50	129.77	3.41	11.81	0.20	0.36	1.88
950.30	133617	bike	2.00	0.70	117.99	1.47	13.45	-0.22	-0.69	-0.08
